Date,Shift,Author,Note,Reminder,Dogs to Watch,Owners to Call,Management Follow-Up,Operational Issues
7/18/2026,AM,Angelica,"Assessment: Willow F [big side] : has a cubbie on top of daycare shelf w/siblings leahes: Molly & Eden",,,,,
,,,"Boarding: Ernie is out w/dog walker Rebecca and will be back later [please put in room for lunch]",,,,,
,,,"Boarding / Meds: Lila has 2 sets of medications: fluoxetine and trazadone. called owner to get confirmation on AM pills for boarding. Please update when she calls back",,,,,
7/18/2026,PM,Marie,"there was confusion upon checking out cashew & oscar with pricing ----- got picked up at 2:07, left them checked in, didn't want to charge wrong",,,,,
,,,"judy left email on tilly asking about sports photos & daycare on 07/09?",,,,,
7/19/2026,AM,Rebeca,"Go-Homes: Be sure to collect ALL belongings at the start of your shift. Limit Lost & Found items at facility. This includes food and items in rooms. Label ALL belongings.",,,,,
7/19/2026,AM,Rebeca,"Boarding Request: Do not book/confirm boarding reservations for Luna Platt. Owner Wayne Platt. Outstanding net balance. Needs to pays half or in full.",TRUE,,,,
7/19/2026,AM,Rebeca,"All Staff: Water bowls are to be placed in the back of rooms, not in the front. Flat bowls are used for Frenchies/Bulldogs (flat face dogs)",,,,,
7/19/2026,AM,Rebeca,"Boarding Dog: Ernie - dog walker took out, will be back. BACK from walk with walker.",,,,,
,,benard,"Log out of your Gingr account. DO NOT log out of Sports account",,,,,
7/19/2026,AM,Rebeca,"LONNIE/BENARD:: Call: Judy K - Tilly's owner. (310) 709-3309. Regarding daycare on 7/9/26 - not on yard. And Trainer notes. Owner unable to access pervious trainer notes. Only July is displayed.",,,,,
7/19/2026,PM,Marie,"chewy & rocket's balance not making sense checked out 07/19 left reciept on desk",,,,,
,,,"check BEDDING in ROOMS & or LAUNDRY for check-outs 07/20",,,,,
7/20/2026,AM,Angelica,"Boarding/Health: Riblet has a cherry on her R-eye. Left owner a voicemail to let them know and if we need to do anythnig or if this normal",TRUE,,,,
7/20/2026,AM,Rebeca,"NO LEASH: Barett",,,,,
,,Angelica,"NO LEASH / Sports: Teddy N and Emmie R, Bronte",,,,,
7/21/2026,AM,Angelica,"Assessment: Joni [small side]",,,,,
,,,"NO LEASH: Barett",FALSE,,,,
,,,"Sports [no leash]: Teddy N",,,,,
7/22/2026,AM,Benard,"No leash: Barrett",,,,,
,,,"Assessment: Hank & Ruby (big side)",,,,,
7/22/2026,PM,Julie,"Maverick missing green tote bag and bed. Call owners when retreived",,,,,
,,,"Black flat bed ontop of big package by door. Unsure who's it is, just saw it up here after my break :)",,,,,
,,,"Sparky taxi'd without card on file. Says they will call tonight or tomorrow. Checked them out with a balance.",,,,,
